platform,site,category,type,style,target_audience,colors,elements,props,layout,fonts
Amazon,UK,家具家居,高级A+,原木风,25-40 岁环保主义者、亲子家庭、喜欢自然质感的人群,以原木色为核心（浅松木、白橡木色），搭配白色、浅灰,天然木质肌理，直线为主、造型简约,实木桌椅、书架（裸露木纹），棉麻布艺沙发 / 窗帘，简约吊灯（木质框架），绿植（绿萝、琴叶榕），藤编筐，玻璃花瓶,饱满,无衬线体，简洁
Amazon,UK,家具家居,高级A+,中古风,28-40 岁审美独立的年轻人、复古潮流追随者、喜欢混搭风格的人群,暖棕、焦糖色、橄榄绿、墨绿为主，搭配米白、浅灰,复古木质（深色为主），曲线造型（弧形扶手、圆形桌面），几何花纹（菱形、波浪纹）,中古款实木沙发（弧形靠背），藤编扶手椅，复古落地灯（金属支架 + 布艺灯罩），几何花纹地毯，老式胶片相机 / 复古钟表摆件,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,现代极简风,25-40 岁都市白领、小户型居住者、追求高效生活的人群,以黑白灰为基础，搭配低饱和中性色（米白、浅灰、棕色）,线条极简（直线为主）,低矮家具（低矮沙发、悬浮茶几），金属细框灯具，玻璃 / 亚克力材质摆件，少而精的软装（单色抱枕、几何挂画）,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,轻奢风,30-45 岁中高收入群体、企业主、精致生活主义者,基础色为黑白灰 / 米白，点缀高饱和亮色（墨绿、酒红、宝蓝），金属色（金、银、玫瑰金）,金属线条、镜面材质、丝绒 / 皮革面料,皮质沙发（带金属铆钉），大理石台面家具，水晶吊灯 / 金属壁灯，丝绒抱枕，几何造型金属摆件,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,工业风,25-35 岁年轻人、设计师、艺术家、自由职业者，多居住于loft 或大平层,深色系为主（黑、深灰、棕褐），搭配水泥灰、铁锈红,裸露结构（水泥墙、横梁、管道），金属材质（铁艺、不锈钢），复古红砖，玻璃,铁艺桌椅、皮质单人椅（做旧款），裸露灯泡灯具，工业风收纳柜（金属框架），复古海报 / 齿轮摆件,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,新中式,35-55 岁成熟人群、文化从业者,以木色为核心，搭配黑、白、灰，点缀中国传统色（朱红、墨绿、黛蓝）,传统中式符号简化（回纹、格栅、榫卯结构），木质肌理，曲线与直线结合,实木家具（圈椅、罗汉床简化款），水墨挂画 / 书法作品，陶瓷茶具，竹编 / 藤编收纳，中式窗格装饰,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,复古风,28-40 岁怀旧爱好者、文艺青年、喜欢小众审美的人群,暖色调为主（焦糖色、姜黄色、砖红色），搭配复古绿、米白,曲线造型（弧形沙发、圆形茶几），花纹面料（格纹、条纹、碎花），做旧质感，圆润边角,绒面沙发、木质复古柜（带铜拉手），复古台灯（玻璃灯罩），老式收音机 / 留声机摆件，花纹地毯,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,美式风,30-50 岁中产家庭、有孩子的家庭、喜欢开阔空间的人群，多居住于独栋或大平层,暖中性色（米白、浅棕、卡其），搭配深棕木色，点缀墨绿、藏蓝,木质肌理，带有美式雕花 / 线条装饰,布艺 L 型沙发（大尺寸），实木餐桌椅（带雕花），美式吊灯（金属 + 布艺灯罩），壁炉装饰，格纹 / 条纹抱枕，绿植（大型阔叶类）,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,奶油风,25-35 岁女性、情侣、新婚家庭，偏爱温馨治愈氛围的人群,低饱和奶油色系（奶油白、奶咖、浅杏、米黄）,圆润线条（无棱角家具），软糯面料（羊羔绒、针织、棉麻）,弧形沙发、软包床，藤编元素家具（浅色系），球形 / 云朵状灯具，毛绒抱枕 / 地毯，蕾丝 / 纱质装饰,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,侘寂风,30-45 岁佛系人群、极简主义者,大地色系为主（米白、浅棕、沙土色、灰色）,粗糙质感（水泥、亚麻、粗陶），不规则造型，做旧、风化痕迹,低矮实木家具（无过多装饰），粗陶花瓶，亚麻布艺软装，藤编收纳，简约线条挂画，干花 / 枯枝摆件,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,原木风,25-40 岁环保主义者、亲子家庭、喜欢自然质感的人群,以原木色为核心（浅松木、白橡木色），搭配白色、浅灰,天然木质肌理，直线为主、造型简约,实木桌椅、书架（裸露木纹），棉麻布艺沙发 / 窗帘，简约吊灯（木质框架），绿植（绿萝、琴叶榕），藤编筐，玻璃花瓶,饱满,无衬线体，简洁
Amazon,UK,家具家居,普通A+,中古风,28-40 岁审美独立的年轻人、复古潮流追随者、喜欢混搭风格的人群,暖棕、焦糖色、橄榄绿、墨绿为主，搭配米白、浅灰,复古木质（深色为主），曲线造型（弧形扶手、圆形桌面），几何花纹（菱形、波浪纹）,中古款实木沙发（弧形靠背），藤编扶手椅，复古落地灯（金属支架 + 布艺灯罩），几何花纹地毯，老式胶片相机 / 复古钟表摆件,饱满,无衬线体，简洁
